"district","active_customer_count","average_spending","most_spent_category"
"Alto Paran","3","4.3233333333333333","Horror"
"Alto Paran","1","4.9900000000000000","Family"
"Alto Paran","1","4.9900000000000000","New"
"Alto Paran","1","7.9900000000000000","Foreign"
"Alto Paran","1","5.9900000000000000","Action"
"Alto Paran","1","7.9900000000000000","Classics"
"Alto Paran","1","6.9900000000000000","Music"
"Alto Paran","1","7.9900000000000000","Documentary"
"Andhra Pradesh","6","4.3233333333333333","New"
"Andhra Pradesh","6","5.6566666666666667","Family"
"Andhra Pradesh","6","4.8233333333333333","Foreign"
"Andhra Pradesh","6","4.8233333333333333","Action"
"Andhra Pradesh","5","4.9900000000000000","Animation"
"Andhra Pradesh","5","4.5900000000000000","Games"
"Andhra Pradesh","4","5.9900000000000000","Classics"
"Andhra Pradesh","4","5.2400000000000000","Sports"
"Andhra Pradesh","4","4.7400000000000000","Sci-Fi"
"Andhra Pradesh","4","6.2400000000000000","Documentary"
"Andhra Pradesh","2","6.9900000000000000","Comedy"
"Anhalt Sachsen","4","4.4900000000000000","Action"
"Anhalt Sachsen","4","5.2400000000000000","Sci-Fi"
"Anhalt Sachsen","1","7.9900000000000000","Games"
"Anhalt Sachsen","1","4.9900000000000000","Sports"
"Anhalt Sachsen","1","6.9900000000000000","Children"
"Antofagasta","3","5.3233333333333333","Sci-Fi"
"Antofagasta","3","4.9900000000000000","Classics"
"Antofagasta","2","4.9900000000000000","Sports"
"Antofagasta","1","10.9900000000000000","Documentary"
"Antofagasta","1","7.9900000000000000","Music"
"Antofagasta","1","7.9900000000000000","Travel"
"Antofagasta","1","6.9900000000000000","Comedy"
"Anzotegui","2","5.9900000000000000","Drama"
"Anzotegui","1","4.9900000000000000","Sci-Fi"
"Anzotegui","1","4.9900000000000000","Travel"
"Apulia","3","5.6566666666666667","Children"
"Apulia","3","6.3233333333333333","New"
"Apulia","3","5.9900000000000000","Foreign"
"Apulia","2","5.4900000000000000","Travel"
"Apulia","1","4.9900000000000000","Games"
"Apulia","1","4.9900000000000000","Drama"
"Apulia","1","4.9900000000000000","Comedy"
"Arecibo","5","4.9900000000000000","New"
"Arecibo","3","4.9900000000000000","Music"
"Arecibo","2","5.4900000000000000","Children"
"Arecibo","2","5.4900000000000000","Travel"
"Arecibo","2","5.4900000000000000","Sports"
"Arecibo","2","4.9900000000000000","Horror"
"Arecibo","1","6.9900000000000000","Family"
"Arecibo","1","7.9900000000000000","Classics"
"Asir","5","4.5900000000000000","Sci-Fi"
"Asir","2","5.9900000000000000","Games"
"Asir","1","5.9900000000000000","Travel"
"Asir","1","5.9900000000000000","Children"
"Asir","1","6.9900000000000000","Comedy"
"Assam","2","4.9900000000000000","Animation"
"Assam","2","4.4900000000000000","Children"
"Assam","1","6.9900000000000000","Horror"
"Assam","1","4.9900000000000000","New"
"Assam","1","4.9900000000000000","Music"
"Assam","1","6.9900000000000000","Foreign"
"Assam","1","7.9900000000000000","Sci-Fi"
"Asturia","3","5.9900000000000000","Documentary"
"Asturia","2","5.9900000000000000","Animation"
"Asturia","2","5.9900000000000000","Sci-Fi"
"Asturia","1","4.9900000000000000","Children"
"Asturia","1","4.9900000000000000","New"
"Asturia","1","4.9900000000000000","Travel"
"Asuncin","3","5.6566666666666667","Sci-Fi"
"Asuncin","1","4.9900000000000000","Sports"
"Asuncin","1","4.9900000000000000","Action"
"Asuncin","1","9.9900000000000000","Comedy"
"Asuncin","1","4.9900000000000000","Family"
"Asuncin","1","5.9900000000000000","Horror"
"Attika","3","6.6566666666666667","Animation"
"Attika","3","6.3233333333333333","Action"
"Attika","3","6.3233333333333333","Sci-Fi"
"Attika","2","4.9900000000000000","Comedy"
"Attika","2","5.4900000000000000","Games"
"Attika","2","6.9900000000000000","Horror"
"Attika","1","5.9900000000000000","Classics"
"Attika","1","6.9900000000000000","New"
"Baden-Wrttemberg","4","6.9900000000000000","Games"
"Baden-Wrttemberg","3","4.9900000000000000","New"
"Baden-Wrttemberg","2","5.4900000000000000","Family"
"Baden-Wrttemberg","1","5.9900000000000000","Sci-Fi"
"Baden-Wrttemberg","1","4.9900000000000000","Classics"
"Baijeri","3","6.6566666666666667","Drama"
"Baijeri","3","7.9900000000000000","Comedy"
"Baijeri","2","4.9850000000000000","Horror"
"Baijeri","2","4.4900000000000000","Action"
"Baijeri","2","6.4900000000000000","Animation"
"Baijeri","1","5.9900000000000000","Sports"
"Baijeri","1","7.9900000000000000","New"
"Baja California","5","4.5900000000000000","Family"
"Baja California","3","4.6566666666666667","Children"
"Baja California","2","6.9900000000000000","Comedy"
"Baja California","2","5.4900000000000000","Sports"
"Baja California","1","5.9900000000000000","Animation"
"Baja California","1","8.9900000000000000","Sci-Fi"
"Baja California","1","6.9900000000000000","Horror"
"Baja California Sur","3","6.6566666666666667","Documentary"
"Baja California Sur","2","4.4900000000000000","Sci-Fi"
"Baja California Sur","2","5.9900000000000000","Foreign"
"Baja California Sur","1","5.9900000000000000","Children"
"Baja California Sur","1","6.9900000000000000","Horror"
"Baja California Sur","1","5.9900000000000000","Sports"
"Baki","5","5.3900000000000000","Games"
"Baki","3","6.9900000000000000","Comedy"
"Baki","2","4.9900000000000000","Horror"
"Balikesir","3","5.3233333333333333","Classics"
"Balikesir","3","4.3233333333333333","Action"
"Balikesir","2","5.9900000000000000","Comedy"
"Balikesir","2","4.9900000000000000","New"
"Balikesir","2","4.4900000000000000","Travel"
"Balikesir","2","4.9900000000000000","Family"
"Balikesir","2","5.4900000000000000","Drama"
"Balikesir","1","4.9900000000000000","Children"
"Banjul","2","4.9900000000000000","Animation"
"Banjul","2","7.4900000000000000","Sci-Fi"
"Banjul","2","4.4900000000000000","Documentary"
"Banjul","1","5.9900000000000000","Classics"
"Banjul","1","4.9900000000000000","New"
"Banjul","1","7.9900000000000000","Horror"
"Banjul","1","5.9900000000000000","Music"
"Banjul","1","4.9900000000000000","Children"
"Basel-Stadt","2","7.4900000000000000","Sci-Fi"
"Basel-Stadt","1","9.9900000000000000","Games"
"Basel-Stadt","1","6.9900000000000000","Family"
"Basel-Stadt","1","6.9900000000000000","New"
"Baskimaa","4","5.2400000000000000","Sports"
"Baskimaa","2","5.9900000000000000","Comedy"
"Baskimaa","2","7.9900000000000000","Classics"
"Baskimaa","1","7.9900000000000000","Music"
"Baskimaa","1","4.9900000000000000","Horror"
"Baskimaa","1","9.9900000000000000","New"
"Baskimaa","1","4.9900000000000000","Children"
"Batman","3","4.9900000000000000","Games"
"Batman","3","5.9900000000000000","Children"
"Batman","3","5.6566666666666667","Travel"
"Batman","1","6.9900000000000000","Foreign"
"Batman","1","6.9900000000000000","Sports"
"Batman","1","5.9900000000000000","Horror"
"Batna","3","8.3233333333333333","Comedy"
"Batna","2","4.9900000000000000","Action"
"Batna","1","4.9900000000000000","Travel"
"Batna","1","4.9900000000000000","Documentary"
"Batna","1","5.9900000000000000","Classics"
"Battambang","2","4.9900000000000000","Sports"
"Battambang","2","7.9900000000000000","Horror"
"Battambang","1","5.9900000000000000","Travel"
"Battambang","1","6.9900000000000000","Drama"
"Battambang","1","4.9900000000000000","Foreign"
"Battambang","1","4.9900000000000000","Children"
"Bauchi & Gombe","2","6.9900000000000000","Family"
"Bauchi & Gombe","2","4.9900000000000000","Sci-Fi"
"Bauchi & Gombe","2","4.9900000000000000","Children"
"Bauchi & Gombe","2","4.9900000000000000","Drama"
"Bauchi & Gombe","2","6.9900000000000000","Comedy"
"Bauchi & Gombe","1","5.9900000000000000","Travel"
"Bauchi & Gombe","1","5.9900000000000000","Classics"
"Bchar","3","4.9900000000000000","Sci-Fi"
"Bchar","3","5.3233333333333333","Family"
"Bchar","2","4.4900000000000000","Children"
"Bchar","1","6.9900000000000000","Drama"
"Bchar","1","4.9900000000000000","Travel"
"Bchar","1","5.9900000000000000","Horror"
"Benguela","3","5.3233333333333333","Comedy"
"Benguela","2","5.9900000000000000","New"
"Benguela","2","5.9900000000000000","Sports"
"Benguela","2","6.9900000000000000","Action"
"Benguela","1","6.9900000000000000","Games"
"Benguela","1","5.9900000000000000","Sci-Fi"
"Benguela","1","4.9900000000000000","Children"
"Bern","4","4.4875000000000000","Classics"
"Bern","4","4.9900000000000000","Animation"
"Bern","4","5.7400000000000000","Documentary"
"Bern","2","5.9900000000000000","New"
"Bern","1","7.9900000000000000","Comedy"
"Bern","1","4.9900000000000000","Sci-Fi"
"Bern","1","5.9900000000000000","Children"
"Bihar","8","4.2400000000000000","Sci-Fi"
"Bihar","6","4.3233333333333333","Music"
"Bihar","6","4.6566666666666667","Classics"
"Bihar","5","4.1900000000000000","Foreign"
"Bihar","4","4.7400000000000000","Sports"
"Bihar","4","5.2400000000000000","Documentary"
"Bihar","3","4.3233333333333333","New"
"Botosani","3","7.6566666666666667","Sports"
"Botosani","1","4.9900000000000000","Travel"
"Botosani","1","5.9900000000000000","Comedy"
"Boyac","4","5.9900000000000000","Animation"
"Boyac","2","5.4900000000000000","Horror"
"Boyac","1","7.9900000000000000","Games"
"Boyac","1","7.9900000000000000","Sports"
"Boyac","1","8.9900000000000000","Action"
"Bratislava","3","4.3233333333333333","Family"
"Bratislava","3","4.6566666666666667","New"
"Bratislava","2","5.4900000000000000","Drama"
"Bretagne","2","4.4900000000000000","Sci-Fi"
"Bretagne","2","5.4900000000000000","Sports"
"Bretagne","2","5.9900000000000000","Children"
"Bretagne","1","4.9900000000000000","Foreign"
"Bretagne","1","4.9900000000000000","Travel"
"Bretagne","1","4.9900000000000000","Action"
"Bretagne","1","6.9900000000000000","Music"
"British Colombia","4","7.4900000000000000","Comedy"
"British Colombia","3","4.9900000000000000","Travel"
"British Colombia","3","6.9900000000000000","Games"
"British Colombia","3","6.3233333333333333","New"
"British Colombia","1","5.9900000000000000","Foreign"
"British Colombia","1","5.9900000000000000","Documentary"
"British Colombia","1","4.9900000000000000","Drama"
"Brunei and Muara","4","4.4900000000000000","Comedy"
"Brunei and Muara","1","4.9900000000000000","Family"
"Brunei and Muara","1","4.9900000000000000","Music"
"Buenos Aires","22","5.0354545454545455","Sports"
"Buenos Aires","21","4.2280952380952381","Sci-Fi"
"Buenos Aires","17","5.2252941176470588","Action"
"Buenos Aires","16","4.1775000000000000","Foreign"
"Buenos Aires","16","4.3650000000000000","Travel"
"Buenos Aires","15","4.2573333333333333","Drama"
"Buenos Aires","14","4.7750000000000000","New"
"Buenos Aires","11","4.5354545454545455","Horror"
"Buenos Aires","11","4.8081818181818182","Classics"
"Buenos Aires","7","4.1328571428571429","Children"
"Bukarest","5","4.1900000000000000","Horror"
"Bukarest","4","4.4900000000000000","Music"
"Bukarest","3","4.3233333333333333","Sports"
"Bukarest","1","4.9900000000000000","Comedy"
"Bukarest","1","4.9900000000000000","Classics"
"Bursa","1","8.9900000000000000","Music"
"Bursa","1","4.9900000000000000","Games"
"Cagayan Valley","3","4.9900000000000000","Comedy"
"Cagayan Valley","3","5.3233333333333333","Drama"
"Cagayan Valley","3","5.3233333333333333","Travel"
"Cagayan Valley","1","5.9900000000000000","Games"
"Cagayan Valley","1","8.9900000000000000","Documentary"
"Cagayan Valley","1","4.9900000000000000","Sci-Fi"
"California","19","4.5163157894736842","Sports"
"California","16","4.7400000000000000","Drama"
"California","15","4.0566666666666667","Foreign"
"California","14","4.3471428571428571","Sci-Fi"
"California","13","5.5284615384615385","Games"
"California","12","4.9066666666666667","Comedy"
"California","11","5.2627272727272727","Travel"
"California","11","4.6263636363636364","Horror"
"California","10","4.3900000000000000","Music"
"Callao","3","5.3233333333333333","Sci-Fi"
"Callao","2","5.9900000000000000","Horror"
"Callao","2","4.4900000000000000","Classics"
"Callao","2","4.9900000000000000","New"
"Callao","2","4.4900000000000000","Sports"
"Callao","1","4.9900000000000000","Children"
"Callao","1","4.9900000000000000","Animation"
"Campeche","3","5.3233333333333333","Horror"
"Campeche","3","5.3233333333333333","Sci-Fi"
"Campeche","2","5.4900000000000000","New"
"Campeche","1","7.9900000000000000","Sports"
"Campeche","1","4.9900000000000000","Games"
"Campeche","1","4.9900000000000000","Documentary"
"Campeche","1","6.9900000000000000","Foreign"
"Caquet","3","5.9900000000000000","Horror"
"Caquet","2","4.9900000000000000","Drama"
"Caquet","2","4.4900000000000000","Travel"
"Caquet","2","7.4900000000000000","Foreign"
"Caquet","2","5.4900000000000000","Music"
"Caquet","2","4.4900000000000000","Sci-Fi"
"Caquet","2","5.9900000000000000","Animation"
"Carabobo","5","4.7900000000000000","Sports"
"Carabobo","2","5.4900000000000000","Family"
"Carabobo","2","5.9900000000000000","Drama"
"Carabobo","1","4.9900000000000000","Action"
"Carabobo","1","6.9900000000000000","Sci-Fi"
"Caraga","4","5.7400000000000000","Sports"
"Caraga","3","4.3233333333333333","Action"
"Caraga","2","4.4900000000000000","Travel"
"Caraga","1","4.9900000000000000","Foreign"
"Caraga","1","4.9900000000000000","Games"
"Cayenne","2","4.9900000000000000","Foreign"
"Cayenne","2","5.9900000000000000","Comedy"
"Cayenne","1","7.9900000000000000","Travel"
"Cayenne","1","4.9900000000000000","Family"
"Cayenne","1","8.9900000000000000","Music"
"Cayenne","1","6.9900000000000000","Sci-Fi"
"Cayenne","1","7.9900000000000000","Horror"
"Cayenne","1","5.9900000000000000","Sports"
"Cear","4","4.7400000000000000","Comedy"
"Cear","3","4.6566666666666667","Animation"
"Cear","2","5.9900000000000000","Children"
"Cear","2","6.4900000000000000","Action"
"Cear","2","5.4900000000000000","Travel"
"Cear","1","6.9900000000000000","Sports"
"Cear","1","5.9900000000000000","Games"
"Cear","1","4.9900000000000000","Sci-Fi"
"Central","8","5.7400000000000000","Comedy"
"Central","7","5.1328571428571429","Action"
"Central","6","5.4900000000000000","Horror"
"Central","6","6.4900000000000000","Foreign"
"Central","6","4.8233333333333333","Travel"
"Central","5","4.3900000000000000","Sci-Fi"
"Central","4","5.4900000000000000","Animation"
"Central","4","6.2400000000000000","Family"
"Central","3","4.9900000000000000","Sports"
"Central","3","4.3233333333333333","Music"
"Central","3","5.9900000000000000","Games"
"Central","2","4.9900000000000000","Drama"
"Central Java","5","4.5900000000000000","Documentary"
"Central Java","3","7.3233333333333333","Comedy"
"Central Java","2","4.4900000000000000","Animation"
"Central Luzon","4","4.9900000000000000","Travel"
"Central Luzon","4","4.2400000000000000","Drama"
"Central Luzon","4","5.4900000000000000","Comedy"
"Central Luzon","3","6.3233333333333333","Sports"
"Central Luzon","2","5.4900000000000000","Games"
"Central Luzon","1","7.9900000000000000","New"
"Central Luzon","1","4.9900000000000000","Music"
"Central Luzon","1","9.9900000000000000","Sci-Fi"
"Central Mindanao","2","5.9900000000000000","Sci-Fi"
"Central Mindanao","2","5.4900000000000000","Family"
"Central Mindanao","1","4.9900000000000000","Children"
"Central Mindanao","1","6.9900000000000000","Classics"
"Central Mindanao","1","4.9900000000000000","Action"
"Central Serbia","5","4.1900000000000000","Sports"
"Central Serbia","2","4.4900000000000000","Action"
"Central Serbia","2","8.4900000000000000","Horror"
"Central Serbia","2","5.9900000000000000","Family"
"Central Serbia","1","4.9900000000000000","Travel"
"Central Serbia","1","5.9900000000000000","Comedy"
"Central Serbia","1","6.9900000000000000","Classics"
"Central Serbia","1","8.9900000000000000","Drama"
"Central Visayas","5","5.7900000000000000","Comedy"
"Central Visayas","3","6.6566666666666667","New"
"Central Visayas","2","4.9900000000000000","Drama"
"Central Visayas","1","5.9900000000000000","Sci-Fi"
"Central Visayas","1","4.9900000000000000","Travel"
"Central Visayas","1","4.9900000000000000","Documentary"
"Centre","3","4.6566666666666667","Documentary"
"Centre","2","5.9900000000000000","New"
"Chaharmahal va Bakht","3","4.3233333333333333","Classics"
"Chaharmahal va Bakht","2","4.4900000000000000","Sci-Fi"
"Chaharmahal va Bakht","2","5.4900000000000000","Animation"
"Chaharmahal va Bakht","2","6.4900000000000000","Children"
"Chaharmahal va Bakht","1","4.9900000000000000","Drama"
"Chaharmahal va Bakht","1","4.9900000000000000","Games"
"Changhwa","5","4.7900000000000000","Family"
"Changhwa","4","5.4850000000000000","Action"
"Changhwa","2","5.9900000000000000","Comedy"
"Changhwa","2","5.4900000000000000","Documentary"
"Changhwa","1","4.9900000000000000","Music"
"Changhwa","1","7.9900000000000000","Sports"
"Changhwa","1","4.9900000000000000","Horror"
"Chari-Baguirmi","4","5.2400000000000000","Sports"
"Chari-Baguirmi","4","4.7400000000000000","Sci-Fi"
"Chari-Baguirmi","3","4.6566666666666667","Foreign"
"Chari-Baguirmi","3","5.9900000000000000","Games"
"Chari-Baguirmi","2","4.9900000000000000","Animation"
"Chari-Baguirmi","1","8.9900000000000000","New"
"Chari-Baguirmi","1","6.9900000000000000","Action"
"Chari-Baguirmi","1","4.9900000000000000","Travel"
"Cheju","3","4.9900000000000000","Family"
"Cheju","3","4.9900000000000000","Music"
"Cheju","2","4.9900000000000000","Travel"
"Cheju","1","5.9900000000000000","Foreign"
"Cheju","1","7.9900000000000000","Children"
"Cheju","1","4.9900000000000000","Sports"
"Chiayi","3","4.3233333333333333","Foreign"
"Chiayi","3","4.3233333333333333","Games"
"Chiayi","2","7.4900000000000000","Family"
"Chiayi","1","4.9900000000000000","Horror"
"Chiba","4","4.7400000000000000","Drama"
"Chiba","3","5.3233333333333333","Documentary"
"Chiba","3","5.3200000000000000","Sports"
"Chiba","1","5.9900000000000000","New"
"Chihuahua","6","4.8233333333333333","Children"
"Chihuahua","5","4.9900000000000000","Travel"
"Chihuahua","4","4.4900000000000000","Sports"
"Chihuahua","3","4.9900000000000000","Documentary"
"Chihuahua","2","4.9900000000000000","Drama"
"Chihuahua","2","8.4900000000000000","Music"
"Chihuahua","2","7.4900000000000000","Horror"
"Chihuahua","2","4.9900000000000000","Comedy"
"Chihuahua","2","5.9900000000000000","Games"
"Chihuahua","1","5.9900000000000000","Animation"
"Chimborazo","6","6.4900000000000000","Sports"
"Chimborazo","4","4.4900000000000000","Animation"
"Chimborazo","3","4.6566666666666667","New"
"Chimborazo","2","5.4900000000000000","Children"
"Chimborazo","1","7.9900000000000000","Foreign"
"Chisinau","5","4.9900000000000000","Classics"
"Chisinau","4","4.2400000000000000","Foreign"
"Chisinau","2","5.9900000000000000","Drama"
"Chisinau","2","5.4900000000000000","Animation"
"Chisinau","1","4.9900000000000000","Comedy"
"Chisinau","1","4.9900000000000000","Sci-Fi"
"Chollanam","3","6.6566666666666667","Children"
"Chollanam","2","5.9900000000000000","Games"
"Chollanam","2","7.9900000000000000","Drama"
"Chollanam","2","4.4900000000000000","Sports"
"Chollanam","1","4.9900000000000000","Documentary"
"Chollanam","1","6.9900000000000000","Sci-Fi"
"Chollanam","1","4.9900000000000000","Travel"
"Chuquisaca","3","4.6566666666666667","Comedy"
"Chuquisaca","2","4.4900000000000000","Family"
"Chuquisaca","2","6.9900000000000000","New"
"Chuquisaca","2","5.9900000000000000","Children"
"Chuquisaca","1","4.9900000000000000","Travel"
"Coahuila de Zaragoza","8","4.4900000000000000","Documentary"
"Coahuila de Zaragoza","7","4.2757142857142857","Sports"
"Coahuila de Zaragoza","6","4.9900000000000000","Sci-Fi"
"Coahuila de Zaragoza","4","4.2400000000000000","New"
"Coahuila de Zaragoza","4","4.7400000000000000","Horror"
"Coahuila de Zaragoza","3","6.3233333333333333","Travel"
"Colorado","3","4.9900000000000000","Foreign"
"Colorado","3","4.9900000000000000","Children"
"Colorado","2","5.9900000000000000","New"
"Colorado","1","5.9900000000000000","Games"
"Colorado","1","4.9900000000000000","Action"
"Colorado","1","8.9900000000000000","Sci-Fi"
"Colorado","1","4.9900000000000000","Horror"
"Copperbelt","4","4.2400000000000000","Games"
"Copperbelt","3","5.3233333333333333","Drama"
"Copperbelt","3","4.3233333333333333","Documentary"
"Copperbelt","2","4.9900000000000000","Horror"
"Copperbelt","2","7.4900000000000000","Classics"
"Copperbelt","1","4.9900000000000000","Sci-Fi"
"Copperbelt","1","4.9900000000000000","Children"
"Copperbelt","1","4.9900000000000000","Sports"
"Coquimbo","3","5.6566666666666667","Drama"
"Coquimbo","2","4.4900000000000000","Sports"
"Coquimbo","2","5.4900000000000000","Children"
"Coquimbo","2","4.4900000000000000","Travel"
"Coquimbo","1","4.9900000000000000","Animation"
"Coquimbo","1","4.9900000000000000","Action"
"Coquimbo","1","6.9900000000000000","New"
"Coquimbo","1","8.9900000000000000","Sci-Fi"
"Crdoba","3","5.6566666666666667","Family"
"Crdoba","2","4.4900000000000000","Games"
"Crdoba","2","4.9900000000000000","Travel"
"Crdoba","2","6.9900000000000000","Animation"
"Crdoba","1","4.9900000000000000","Foreign"
"Crdoba","1","4.9900000000000000","Comedy"
"Daugavpils","4","4.7400000000000000","Sports"
"Daugavpils","4","5.7400000000000000","Games"
"Daugavpils","3","4.3233333333333333","Classics"
"Daugavpils","3","4.6566666666666667","Action"
"Daugavpils","3","5.6566666666666667","Drama"
"Daugavpils","2","4.4900000000000000","Sci-Fi"
"Daugavpils","2","4.4900000000000000","Music"
"Daugavpils","1","8.9900000000000000","Family"
"Daugavpils","1","4.9900000000000000","Horror"
"Denizli","4","4.4900000000000000","Comedy"
"Denizli","2","5.9900000000000000","Animation"
"Denizli","2","4.4900000000000000","Music"
"Denizli","1","8.9900000000000000","Drama"
"Denizli","1","9.9900000000000000","Sports"
"Denizli","1","7.9900000000000000","Foreign"
"Denizli","1","4.9900000000000000","Documentary"
"Dhaka","8","5.4900000000000000","Horror"
"Dhaka","8","4.4900000000000000","Sports"
"Dhaka","7","4.8471428571428571","Sci-Fi"
"Dhaka","7","4.5614285714285714","Games"
"Dhaka","6","4.8233333333333333","Documentary"
"Dhaka","6","4.6566666666666667","Classics"
"Dhaka","4","4.7400000000000000","Action"
"Dhaka","4","4.4900000000000000","Travel"
"Dhaka","3","4.9900000000000000","Family"
"Distrito Federal","4","6.4900000000000000","Horror"
"Distrito Federal","3","4.6566666666666667","Travel"
"Distrito Federal","3","5.9900000000000000","Documentary"
"Distrito Federal","3","4.3233333333333333","Foreign"
"Distrito Federal","2","4.9900000000000000","Sports"
"Distrito Federal","1","4.9900000000000000","Comedy"
"Drenthe","4","4.7400000000000000","Family"
"Drenthe","3","4.3233333333333333","Animation"
"Drenthe","2","5.4900000000000000","New"
"Drenthe","2","4.9900000000000000","Comedy"
"Drenthe","2","4.4900000000000000","Sci-Fi"
"Drenthe","1","4.9900000000000000","Documentary"
"Drenthe","1","4.9900000000000000","Sports"
"East Azerbaidzan","5","4.1900000000000000","Sci-Fi"
"East Azerbaidzan","4","7.2400000000000000","Comedy"
"East Azerbaidzan","3","5.9900000000000000","Animation"
"East Azerbaidzan","2","5.4900000000000000","Action"
"East Azerbaidzan","1","4.9900000000000000","Travel"
"East Azerbaidzan","1","6.9900000000000000","New"
"East Java","7","5.8471428571428571","Action"
"East Java","4","5.7400000000000000","New"
"East Java","3","5.6566666666666667","Sports"
"East Java","3","5.3233333333333333","Sci-Fi"
"East Java","3","4.6566666666666667","Music"
"East Java","3","5.6566666666666667","Family"
"East Java","3","5.6566666666666667","Horror"
"East Java","2","4.9900000000000000","Travel"
"East Java","2","4.9900000000000000","Drama"
"East Java","2","4.9900000000000000","Comedy"
"East Kasai","6","4.3233333333333333","Travel"
"East Kasai","2","5.4900000000000000","Horror"
"East Kasai","2","4.4900000000000000","Family"
"East Kasai","1","5.9900000000000000","Drama"
"East Kasai","1","6.9900000000000000","Games"
"East Kasai","1","4.9900000000000000","Action"
"Eastern Visayas","5","4.1900000000000000","Music"
"Eastern Visayas","4","5.9900000000000000","Action"
"Eastern Visayas","3","6.3233333333333333","Foreign"
"Eastern Visayas","2","4.4900000000000000","Games"
"Eastern Visayas","1","4.9900000000000000","Sci-Fi"
"Eastern Visayas","1","4.9900000000000000","Classics"
"Eastern Visayas","1","4.9900000000000000","Drama"
"Edo & Delta","4","6.2375000000000000","Action"
